date,hits
2019-01-01,236369968
2019-01-02,197243024
2019-01-03,165274912
2019-01-04,207815408
2019-01-05,225379456
2019-01-06,227810432
2019-01-07,250272560
2019-01-08,247290048
2019-01-09,233739696
2019-01-10,252663440
2019-01-11,276137728
2019-01-12,324374464
2019-01-13,356919424
2019-01-14,423750272
2019-01-15,470362144
2019-01-16,488528192
2019-01-17,473153024
2019-01-18,416500480
2019-01-19,323445984
2019-01-20,269135136
2019-01-21,216600848
2019-01-22,174646096
2019-01-23,169645280
2019-01-24,208692512
2019-01-25,225305408
2019-01-26,236748352
2019-01-27,251806272
2019-01-28,241687680
2019-01-29,230383728
2019-01-30,245781872
2019-01-31,275497504
2019-02-01,329207136
2019-02-02,386567776
2019-02-03,431594880
2019-02-04,467475232
2019-02-05,495477632
2019-02-06,477320160
2019-02-07,390638784
2019-02-08,297856288
2019-02-09,244707648
2019-02-10,187886560
2019-02-11,144565040
2019-02-12,192402528
2019-02-13,209269920
2019-02-14,214680544
2019-02-15,234353200
2019-02-16,234515136
2019-02-17,229934640
2019-02-18,241262480
2019-02-19,252690848
2019-02-20,286320352
2019-02-21,319468096
2019-02-22,346641600
2019-02-23,409546880
2019-02-24,464159040
2019-02-25,477155776
2019-02-26,454487744
2019-02-27,408700512
2019-02-28,327400128
2019-03-01,275005952
2019-03-02,228265216
2019-03-03,189924352
2019-03-04,183235728
2019-03-05,240104064
2019-03-06,250524896
2019-03-07,249568432
2019-03-08,268005584
2019-03-09,236557680
2019-03-10,231366608
2019-03-11,213522080
2019-03-12,261034768
2019-03-13,285539200
2019-03-14,265371584
2019-03-15,287143808
2019-03-16,290773856
2019-03-17,296023136
2019-03-18,287781248
2019-03-19,272296736
2019-03-20,255828048
2019-03-21,244374960
2019-03-22,249041184
2019-03-23,284496640
2019-03-24,348111040
2019-03-25,365692576
2019-03-26,364069760
2019-03-27,416132576
2019-03-28,460195232
2019-03-29,413748288
2019-03-30,332978752
2019-03-31,274454400
2019-04-01,224703392
2019-04-02,180590352
2019-04-03,162286144
2019-04-04,212074640
2019-04-05,229839488
